Sr. No.,Division,District,Institute Code,Year,Course,Institute Name,Capacity,Enrolled
1,Konkan,Mumbai City,1,2018-19,ANM,"CAMA  ALBLESS HOSPITAL , MUMBAI",20,18
2,Konkan,Mumbai City,2,2018-19,ANM,"AKI INSTITUTE OF NURSING, NAGPADA, MUMBAI",20,20
3,Konkan,Mumbai City,3,2018-19,ANM,"SMT. S. C. NANAVATI OF POLYTECHNIC SCHOOL OF NURSING, MUMBAI",40,40
4,Konkan,Thane,4,2018-19,ANM,"V. S. GENERAL HOSPITAL, THANE",20,20
5,Konkan,Raigarh,5,2018-19,ANM,"WOMENS INDIA TRUST, PANVEL",20,19
6,Konkan,Raigarh,6,2018-19,ANM,"GENERAL HOSPITAL,  ALIBAG",20,19
7,Konkan,Ratnagiri,7,2018-19,ANM,"GENERAL HOSPITAL, RATNAGIRI",20,19
8,Nashik,Nashik,8,2018-19,ANM,"GENERAL HOSPITAL, NASIK",20,18
9,Nashik,Dhule,9,2018-19,ANM,"GENERAL HOSPITAL,  DHULE",20,20
10,Nashik,Jalgaon,10,2018-19,ANM,"GENERAL HOSPITAL,  JALGAON",20,19
11,Nashik,Nashik,12,2018-19,ANM,GANPATRAO ADKE INE.  NASIK,20,20
12,Nashik,Nashik,13,2018-19,ANM,"NASIK MEDICO TRAINING COLLEGE OF NURSING, NASIK",40,15
13,Konkan,Ratnagiri,14,2018-19,ANM,"RAMRAJE SCH. NSG, RCON DAPOLI, RATNAGIRI",20,14
14,Konkan,Raigarh,16,2018-19,ANM,"NOOTAN SCHOOL OF NURSING, RAIGAD",30,23
15,Nashik,Nashik,17,2018-19,ANM,"RACHANA SCHOOL OF NURSING, NASHIK",40,30
16,Nashik,Nashik,18,2018-19,ANM,"S.N.D. SCHOOL OF NURSING, JES, YEOLA,  NASIK",30,30
17,Nashik,Nandurbar,19,2018-19,ANM,"K.D. GAVIT NURSING SCHOOL, PATHRAI , NANDURBAR",20,20
18,Nashik,Dhule,22,2018-19,ANM,RAJANI SMRUTI NSG SCH. DONDAICHA SHINDKHEDA DHULE,30,18
19,Konkan,Raigarh,23,2018-19,ANM,"LIFE LINE HOSPITAL, PANVEL",20,17
20,Konkan,Raigarh,26,2018-19,ANM,"KALAVATI INSTITUTE OF NURSING EDUCATION,  AIROLI NAVI MUMBAI",40,35
21,Nashik,Jalgaon,27,2018-19,ANM,"BHAGINI MANDAL SCHOOL OF NURSING, CHOPDA , JALGAON",25,20
22,Konkan,Ratnagiri,29,2018-19,ANM,"PARKAR MEDICAL FOUNDATION SCHOOL OF NURSING, RATNAGIRI",20,20
23,Nashik,Nashik,30,2018-19,ANM,"KARUNA SCHOOL OF NURSING, MANMAD, NASHIK",30,29
24,Nashik,Jalgaon,31,2018-19,ANM,"KHANDESH NURISNG INSTITUTE, CHALISGAON, JALGAON",20,18
25,Nashik,Nashik,33,2018-19,ANM,"NAMCO SCHOOL OF NURSING, NASIK",30,29
26,Konkan,Sindhudurg,35,2018-19,ANM,"SHREE ANANT SMRUTI SCHOOL OF NURSING, KASAL",20,18
27,Konkan,Sindhudurg,36,2018-19,ANM,"IDEAL NURSING SCHOOL, KANKAVALI, SINDHUDURG",20,19
28,Nashik,Nashik,37,2018-19,ANM,"VISHWASATTAYA SCHOOL OF NURSING, OZAR",30,15
29,Nashik,Nashik,38,2018-19,ANM,"NASHIK NURSING SCHOOL, NASHIK",20,20
30,Nashik,Ahilyanagar,39,2018-19,ANM,"GENERAL HOSPITAL,AHMEDNAGAR",20,19
31,Pune,Satara,40,2018-19,ANM,"GENERAL HOSPITAL, SATARA",20,19
32,Pune,Kolhapur,41,2018-19,ANM,"C.P.R. GENERAL HOSPITAL, KOLHAPUR",20,20
33,Pune,Solapur,42,2018-19,ANM,"DHANRAJGIRIJI HOSPITAL,  SOLAPUR",20,20
34,Pune,Pune,45,2018-19,ANM,"SETH TARACHAND R.C.A. SCH. OF NSG HOSPITAL, PUNE",20,16
35,Pune,Pune,46,2018-19,ANM,"Maharashtra Arogya Mandal's Institute of Nursing Education,Malwadi,Hadapsar,Pune",40,40
36,Pune,Pune,47,2018-19,ANM,"JANASEVA FOUNDATION SCH. OF NSG, PUNE",30,27
37,Nashik,Ahilyanagar,48,2018-19,ANM,"F.J.F.M. HOSPITAL SCH OF NSG, NEWASA, DISTAHMEDNAGAR",30,10
38,Nashik,Ahilyanagar,51,2018-19,ANM,KRANTI SCHOOL OF NURSING  AHMEDNAGAR,20,11
39,Pune,Kolhapur,53,2018-19,ANM,"DR. J. J. MAGDUM SON, SHIROL, KOLHAPUR",20,20
40,Pune,Solapur,56,2018-19,ANM,"BHAKTI MEDICAL FOUNDATION SCHOOL OF NURSING, SOLAPUR, PANDHARPUR",20,16
41,Pune,Sangli,57,2018-19,ANM,"SAHAKARMAHARSHI VISHNUANNA PATIL NURSING SCHOOL, SANGLI",20,7
42,Pune,Sangli,58,2018-19,ANM,"DESAI CHARITABLE TRUST TAL. MIRAJ, SANGLI",30,30
43,Pune,Kolhapur,59,2018-19,ANM,"WESTERN MAHARASHTRA SCHOOL OF NURSING, TILWANI, KOLHAPUR",20,16
44,Pune,Sangli,60,2018-19,ANM,"ABHINAV SCHOOL OF NURSING ASHTA, WALWA, SANGLI",30,10
45,Pune,Pune,62,2018-19,ANM,"Sevadham Trust A.S.M.T. SON, MAVAL, PUNE,",20,10
46,Pune,Solapur,64,2018-19,ANM,"SHIVAJI SHIKSHAN PRASARAK MANDALS, SON, BARSHI, SOLAPUR",30,29
47,Pune,Pune,65,2018-19,ANM,"ANAND MEDICAL FOUNDATION, SON, KURULI, KHED, PUNE",20,14
48,Pune,Sangli,66,2018-19,ANM,"KAMAL INSTITUTE OF NURSING EDUCATION, JATH, SANGLI",20,10
49,Nashik,Ahilyanagar,67,2018-19,ANM,"VIJAY GANGA RURAL, MED  RES FOUNDATION, SON, AHMEDNAGAR",20,17
50,Pune,Pune,68,2018-19,ANM,"SANT DNYANESHWAR MED EDU'S,SCHOOL OF NURSING, PUNE",20,19
51,Pune,Sangli,70,2018-19,ANM,"HON.R.R.PATIL INSTITUTE OF NSG EDUCATION,SANGLI",30,25
52,Pune,Sangli,71,2018-19,ANM,"KRANTIAGRANI G.D.BAPU LAD SCH OF NS, SANGLI",20,20
53,Pune,Sangli,72,2018-19,ANM,"UMA INST. OF NURSING EDUCATION, SANGLI",20,15
54,Nashik,Ahilyanagar,73,2018-19,ANM,"SEVA NURSING SCHOOL, AHMEDNAGAR",35,28
55,Pune,Kolhapur,74,2018-19,ANM,"KEDARI REDEKAR  NURSING SCHOOL, GADHINGLAJ, KOLHAPUR",30,16
56,Pune,Solapur,75,2018-19,ANM,"SHRI MARKANDEY SOLAPUR SAHAKARI RUGNALAYA, SOLAPUR",20,20
57,Pune,Pune,76,2018-19,ANM,"MEERA  NURSING SCHOOL, SASWAD, PUNE",30,30
58,Nashik,Ahilyanagar,77,2018-19,ANM,"INDIRA GANDHI NSG, COLLEGE, PARNER, AHMEDNAGAR",20,18
59,Pune,Kolhapur,78,2018-19,ANM,"Sant Gajanan Maharaj School of Nursing, Tal - Gadhinglaj, Kolhapur",20,20
60,Pune,Sangli,82,2018-19,ANM,"KULLOLLI CH.TRUST'S, SCHOOL OF NURSING, MIRAJ, SANGLI",30,29
61,Pune,Kolhapur,83,2018-19,ANM,"MAHALAXMI NURSING INSTITUTE, KOLHAPUR",20,20
62,Pune,Satara,84,2018-19,ANM,"SMT. INDUMATI RAMCHANDRA DESHMUKH SCHOOL OF NURSING, KHATAV, SATARA",20,13
63,Pune,Kolhapur,89,2018-19,ANM,"Y.D. MANE SCHOOL OF NURSING, KAGAL, KOLHAPUR",30,28
64,Pune,Satara,90,2018-19,ANM,"PHALTAN EDUCATION SOCIETY, SCHOOL OF NURSING, PHALTAN ,SATARA",20,20
65,Pune,Satara,91,2018-19,ANM,"KANISHKA CHARITABLE TRUST'S, SCHOOL OF NURSING ,SATARA",20,20
66,Pune,Kolhapur,92,2018-19,ANM,"ADHAAR NURSING SCHOOL, AJRA KOLHAPUR",20,20
67,Pune,Kolhapur,93,2018-19,ANM,"KAI. BALWANTRAO HANUMANTRAO PATIL SHIKSHAN PRASARAK MANDAL, KARVIR, KOLHAPUR",20,20
68,Nashik,Ahilyanagar,94,2018-19,ANM,"PRAVARA MEDICAL TRUST,SON, SHEVGAON, AHMEDNAGAR",40,40
69,Pune,Kolhapur,96,2018-19,ANM,"SARASWATI GAIKWAD NURSING SCHOOL , KOTOLI, PANHALA, KOLHAPUR",20,19
70,Nashik,Ahilyanagar,98,2018-19,ANM,"NITYASEVA HOSPITAL NURSING SCHOOL, SHEVGAON, AHMEDNAGAR",30,27
71,Nagpur,Wardha,101,2018-19,ANM,"FLORENCE NIGHTINGALE TRAINING COLLEGE OF NURSING,WARDHA.",60,60
72,Nagpur,Nagpur,103,2018-19,ANM,"MAHAL MATERNITY HOM, SON, NAGPUR",15,13
73,Nagpur,Wardha,105,2018-19,ANM,"GENERAL HOSPITAL, WARDHA",20,20
74,Nagpur,Nagpur,106,2018-19,ANM,"DAGA MEMORIAL HOSPITAL, NAGPUR",20,20
75,Amravati,Amravati,107,2018-19,ANM,"DIST.HOSPITAL FOR WOMEN , AMRAVATI",20,19
76,Amravati,Akola,108,2018-19,ANM,"DIST.HOSPITAL FOR WOMEN, AKOLA",20,20
77,Nagpur,Chandrapur,109,2018-19,ANM,"GENERAL HOSPITAL,CHANDRAPUR",20,20
78,Amravati,Yavatmal,110,2018-19,ANM,"GENERAL HOSPITAL ,YAVATMAL",30,19
79,Amravati,Buldana,111,2018-19,ANM,"GENERAL HOSPITAL, BULDANA",20,20
80,Nagpur,Bhandara,112,2018-19,ANM,"GENERAL HOSPITAL, BHANDARA",20,20
81,Nagpur,Gadchiroli,113,2018-19,ANM,GENERAL HOSPITAL  GADCHIROLI,20,19
82,Nagpur,Nagpur,114,2018-19,ANM,"SWAMI VIVEKANAND MED MISSION, PARSODI, SON, KHAPRI , NAGPUR",20,19
83,Amravati,Yavatmal,115,2018-19,ANM,"HELEN ROSE SCHOOL OF NURSING UMRI, YAVATMAL",20,10
84,Amravati,Amravati,116,2018-19,ANM,"MAA GAYATRI SCHOOL OF NURSING, ACHALPUR, AMRAVATI",20,19
85,Nagpur,Wardha,117,2018-19,ANM,"BHARTIYA MAHILA VIKAS NURSING SCHOOL, RAMNAGAR, WARDHA",30,7
86,Amravati,Akola,118,2018-19,ANM,"INSTITUTE OF NURSING EDUCATION & RESEARCH, AKOLA",30,24
87,Amravati,Yavatmal,119,2018-19,ANM,"SUMITRABAI THAKARE TRAINING COLLEGE OF NURSING, YAVATMAL",30,29
88,Nagpur,Nagpur,120,2018-19,ANM,"DR.DALVI MEMORIAL HOSPITAL, SON, NAGPUR",40,18
89,Nagpur,Nagpur,121,2018-19,ANM,"RIGHT VALUE INSTITUTE OF NURSING, NAGPUR",20,20
90,Amravati,Akola,122,2018-19,ANM,"NATIONAL SCHOOL OF NURSING , AKOLA",30,18
91,Nagpur,Nagpur,123,2018-19,ANM,"TIRPUDE NURSING TRAINING SCHOOL, NAGPUR",40,40
92,Amravati,Washim,124,2018-19,ANM,"MAA GANGA NURSING SCHOOL, WASHIM",20,20
93,Amravati,Yavatmal,125,2018-19,ANM,"PADOLE NURSING SCHOOL, YAVATMAL",20,20
94,Konkan,Raigarh,129,2018-19,ANM,"ANURADHA NURSING SCHOOL , CHIKHALI",30,30
95,Nagpur,Chandrapur,130,2018-19,ANM,"KALYAN INSTITUTE OF NURSING EDUCATION, RAJURA, CHANDRAPUR",20,19
