Division,District,Name of the College,Name of the Department,No. of MBBS seats,Total Beds,Total Units,UG Professor ,UG  Associate Prof. / Reader,UG Assistant Professor / Lecturer,UG Sr. Residents ,UG Tutors/ Demonstrators,No of PG Seats,PG Professor ,PG Associate Prof. / Reader,PG Assistant Professor / Lecturer,PG Sr. Residents ,PG Tutors/ Demonstrators,Total Annual Intake of PG Seats,Professor (Compliance/ Non Compliance),Associate Prof. / Reader (Compliance/ Non Compliance),Assistant Professor / Lecturer (Compliance/ Non Compliance),Sr. Residents (Compliance/ Non Compliance),Tutors/ Demonstrators (Compliance/ Non Compliance)
Amaravati,Akola,GMC Akola,Anatomy,200,0,0,1,2,3,6,0,2,1,2,3,0,4,2,Complied,Complied,Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Physiology,0,0,0,1,2,3,5,0,2,1,2,3,0,4,2,Complied,Complied,Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Biochemistry,0,0,0,1,2,2,5,0,2,1,2,3,0,4,2,Complied,Complied,Not Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Pathology,0,0,0,1,6,6,7,0,9,1,3,4,0,6,9,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Microbiology,0,0,0,1,2,3,5,0,2,1,2,3,0,4,2,Complied,Complied,Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Pharmacology,0,0,0,1,2,4,7,0,5,1,2,3,0,4,5,Complied,Complied,Not Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Forensic Medicine Including Toxicology,0,0,0,1,1,2,5,0,2,1,1,1,0,4,2,Complied,Complied,Not Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,Community Medicine,0,0,0,1,3,7,7,0,11,1,2,4,0,5,11,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Amaravati,Akola,GMC Akola,General Medicine,0,210,3,1,3,5,8,0,0,1,6,7,7,0,0,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Paediatrics,0,120,2,1,3,5,5,0,2,1,3,4,4,0,2,Complied,Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Psychiatry,0,30,1,1,1,2,2,0,0,1,0,1,1,0,0,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,"Dermatology, Venereology and Leprosy",0,30,1,1,1,2,2,0,3,1,0,1,1,0,3,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Tuberculosis And Respiratory Diseases,0,60,1,1,1,2,2,0,3,1,0,1,1,0,3,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,General Surgery,0,210,7,1,3,5,8,0,0,1,6,7,7,0,0,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Orthopaedics,0,120,2,1,1,2,5,0,0,1,3,4,4,0,0,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Radio-Diagnosis,0,5,0,1,2,2,4,0,5,1,1,2,3,0,5,Complied,Not Complied,Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Radiotherapy,0,0,0,0,0,0,3,0,0,1,1,2,3,0,0,Not Complied,Not Complied,Not Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Oto-Rhinolaryngology (ENT),0,30,1,1,1,2,3,0,3,1,1,1,1,0,3,Complied,Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Ophthalmology,0,30,2,1,1,2,5,0,4,1,1,2,2,0,4,Complied,Complied,Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Obstetrics And Gynaecology,0,120,4,1,4,8,5,0,14,1,3,4,4,0,14,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Anaesthesiology,0,0,0,1,3,4,2,0,4,1,4,5,4,0,4,Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,Emergency Medicine,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Dentistry,0,0,0,1,1,1,0,0,0,1,1,1,0,0,,Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Any Other - All Ot recovery,0,30,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Any Other - LR,0,20,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Any Other - BURN WARD ICU,0,5,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Any Other - BURN,0,30,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Any Other - CASUALTY,0,20,0,0,45,72,101,0,73,1,0,0,0,0,,Not Complied,Not Complied,Not Complied,Not Complied,Complied
Amaravati,Akola,GMC Akola,ICCU Respi ICU,0,5,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,ICU,0,27,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Surgical ICU,0,20,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,PICU,0,6,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,NICU,0,20,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Obstetric HDU/ICU,0,10,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Major OT 5,0,20,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Minor OT 5ot,0,10,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Labour Table,0,6,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,ICCR-Nephrology (AK Dialysis),0,6,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Injection Room,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Blood bank,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Minor OT OPD,0,2,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Amaravati,Akola,GMC Akola,Injection Room,0,2,0,0,0,0,0,0,0,1,0,0,0,0,,Not Complied,Complied,Complied,Complied,Complied
Konkan,Raigad,GMC Alibag,Anatomy,100,0,0,0,1,1,0,0,0,1,1,1,0,3,,Not Complied,Complied,Complied,Complied,Not Complied
Konkan,Raigad,GMC Alibag,Physiology,0,0,0,0,1,1,0,0,0,1,1,1,0,3,,Not Complied,Complied,Complied,Complied,Not Complied
Konkan,Raigad,GMC Alibag,Biochemistry,0,0,0,1,1,2,0,0,0,1,1,1,0,3,,Complied,Complied,Not Complied,Complied,Not Complied
Konkan,Raigad,GMC Alibag,Pathology,0,0,0,1,1,2,1,0,3,1,2,3,0,4,,Complied,Not Complied,Not Complied,Not Complied,Not Complied
Konkan,Raigad,GMC Alibag,Microbiology,0,0,0,0,1,2,0,0,0,1,1,1,0,3,,Not Complied,Complied,Not Complied,Complied,Not Complied
Konkan,Raigad,GMC Alibag,Pharmacology,0,0,0,0,1,2,1,0,0,1,1,1,0,2,,Not Complied,Complied,Not Complied,Not Complied,Not Complied
Konkan,Raigad,GMC Alibag,Forensic Medicine Including Toxicology,0,0,0,1,1,0,1,0,0,1,0,1,0,2,,Complied,Not Complied,Not Complied,Not Complied,Not Complied
