College Name,Location,District,Division
"Grant Medical College & Sir JJ Group of Hospitals, Mumbai",Mumbai City,Mumbai City,Konkan
"Government Medical College, Nagpur",Nagpur,Nagpur,Nagpur
"Government Medical College, Chhatrapati Sambhaji Nagar",Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar
"Government Medical College, Miraj",Miraj,Sangli,Pune
"Dr Vaishampayan Memorial Medical College, Solapur",Solapur,Solapur,Pune
"BJ Medical College & Sassoon Hospital, Pune",Pune,Pune,Pune
"Indira Gandhi Medical College & Hospital, Nagpur",Nagpur,Nagpur,Nagpur
"SRTR Medical College, Ambajogai",Ambajogai,Nanded,Chhatrapati Sambhajinagar
"Dr. Shankarrao Chavan Govt. Medical College, Nanded",Nanded,Nanded,Chhatrapati Sambhajinagar
"Sri Bhausaheb Hire Government Medical College, Dhule",Dhule,Dhule,Nashik
"Shri Vasant Rao Naik Govt. Medical College, Yavatmal",Yavatmal,Yavatmal,Amaravati
"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur",Kolhapur,Kolhapur,Pune
"Government Medical College, Akola",Akola,Akola,Amaravati
"Government Medical College, Latur",Latur,Latur,Chhatrapati Sambhajinagar
"Government Medical College, Chandrapur",Chandrapur,Chandrapur,Nagpur
"Government Medical College, Gondia",Gondia,Gondia,Nagpur
"Government Medical College, Jalgaon",Jalgaon,Jalgaon,Nashik
"Government Medical College & Hospital, Baramati",Baramati,Pune,Pune
"Government Medical College, Nandurbar",Nandurbar,Nandurbar,Nashik
"Government Medical College, Alibag",Alibag,Raigad,Konkan
"Government Medical College, Satara",Satara,Satara,Pune
"Government Medical College, Sindhudurg",Sindhudurg,Sindhudurg,Konkan
"Government Medical College, Dharashiv",Dharashiv,Dharashiv,Chhatrapati Sambhajinagar
"Government Medical College, Ratnagiri",Ratnagiri,Ratnagiri,Konkan
"Government Medical College, Parbhani",Parbhani,Parbhani,Chhatrapati Sambhajinagar
"Government Medical College, Mumbai",Mumbai City,Mumbai City,Konkan
"Government Medical College, Nashik",Nashik,Nashik,Nashik
"Government Medical College, Ambarnath Thane",Thane,Thane,Konkan
"Government Medical College, Jalna",Jalna,Jalna,Chhatrapati Sambhajinagar
"Government Medical College, Hingoli",Hingoli,Hingoli,Chhatrapati Sambhajinagar
"Government Medical College, Washim",Washim,Washim,Amaravati
"Government Medical College, Buldhana",Buldhana,Buldhana,Amaravati
"Government Medical College, Amravati",Amaravati,Amaravati,Amaravati
"Government Medical College, Bhandara",Bhandara,Bhandara,Nagpur
"Government Medical College, Gadchiroli",Gadchiroli,Gadchiroli,Nagpur
"Government Dental College, Mumbai",Mumbai City,Mumbai City,Konkan
"Government Dental College, Ch Sambhajinagar",Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar
"Government Dental College, Nagpur",Nagpur,Nagpur,Nagpur
"Government Dental College, Jalgaon",Jalgaon,Jalgaon,Nashik
"R. A. Podar Medical College (Ayurved), Worli, Mumbai",Mumbai City,Mumbai City,Konkan
"Government Ayurved College, Nagpur",Nagpur,Nagpur,Nagpur
"Government Ayurved College, Nanded",Nanded,Nanded,Chhatrapati Sambhajinagar
"Government Ayurved College, Dharashiv",Dharashiv,Dharashiv,Chhatrapati Sambhajinagar
"Government Ayurved College, Jalgaon",Jalgaon,Jalgaon,Nashik
"Government Ayurved College, Baramati",Baramati,Pune,Pune
"Government Homeopathy College, Jalgaon",Jalgaon,Jalgaon,Nashik
